name;cib;street;street2;Zip;City;Country_id;Tel;Fax;mail
Banque FTSBNL2R;FTSBNL2R;;;;;NL;;;
BNP Paribas Fortis;GEBABEBB;;;;;BE;;;
Banque GENODED1WTL;GENODED1WTL;;;;;DE;;;
Banque GENODEF1LSR;GENODEF1LSR;;;;;DE;;;
Banque GENODEF1MRZ;GENODEF1MRZ;;;;;DE;;;
Banque GENODEM1HUL;GENODEM1HUL;;;;;DE;;;
Banque GENODESG;GENODESG;;;;;DE;;;
Banque GIBACZPX;GIBACZPX;;;;;CZ;;;
BELFIUS BANK;GKCCBEBB;;;;;BE;;;
Banque HANDSESS;HANDSESS;;;;;SE;;;
Record Bank;HBKABE22;;;;;BE;;;
Banque HELADEF1HAN;HELADEF1HAN;;;;;DE;;;
Banque HRBKDE51;HRBKDE51;;;;;DE;;;
Banque HYVEDEMM300;HYVEDEMM300;;;;;DE;;;
Banque HYVEDEMM451;HYVEDEMM451;;;;;DE;;;
Banque HYVEDEMM467;HYVEDEMM467;;;;;DE;;;
Banque HYVEDEMM808;HYVEDEMM808;;;;;DE;;;
Banque IBSPITTM;IBSPITTM;;;;;IT;;;
Banque INGBNL2A;INGBNL2A;;;;;NL;;;
Bank J. Van Breda & C?;JVBABE22;;;;;BE;;;
Keytrade Bank;KEYTBEBB;;;;;BE;;;
Banque KOLBFR21;KOLBFR21;;;;;FR;;;
KBC Bank;KREDBEBB;;;;;BE;;;
Banque MIDLGB22;MIDLGB22;;;;;GB;;;
Banque NASSDE55;NASSDE55;;;;;DE;;;
Nationale Bank van Belgi?;NBBEBEBB203;;;;;BE;;;
Banque NDEADEFF;NDEADEFF;;;;;DE;;;
Banque NDEASESS;NDEASESS;;;;;SE;;;
Crelan;NICABEBB;;;;;BE;;;
Banque NORDFRPP;NORDFRPP;;;;;FR;;;
Banque NWBKGB2L;NWBKGB2L;;;;;GB;;;
Banque OKOYFIHH;OKOYFIHH;;;;;FI;;;
Banque OLBODEH2;OLBODEH2;;;;;DE;;;
Banque PASCITMM;PASCITMM;;;;;IT;;;
Banque PASCITMMOSM;PASCITMMOSM;;;;;IT;;;
bpost;PCHQBEBB;;;;;BE;;;
Banque PSSTFRPPSCE;PSSTFRPPSCE;;;;;FR;;;
Banque RABONL24;RABONL24;;;;;NL;;;
Banque RABONL2U;RABONL2U;;;;;NL;;;
Banque RBOSNL2A;RBOSNL2A;;;;;NL;;;
Banque RLNWATWW;RLNWATWW;;;;;AT;;;
Soci?t? G?n?rale (Paris);SGABBEB2;;;;;BE;;;
Banque SOGEFRPP;SOGEFRPP;;;;;FR;;;
Banque SOLADEST;SOLADEST;;;;;DE;;;
Crelan;SPAABE22;;;;;BE;;;
Banque SPKRDE33;SPKRDE33;;;;;DE;;;
Banque SWEDBNKS;SWEDBNKS;;;;;SE;;;
Banque SWEDSESS;SWEDSESS;;;;;SE;;;
Banque UNCRITM152V;UNCRITM152V;;;;;IT;;;
Banque UNCRITM1NN0;UNCRITM1NN0;;;;;IT;;;
Banque UNCRITM1Q82;UNCRITM1Q82;;;;;IT;;;
Banque UNCRITMM;UNCRITMM;;;;;IT;;;
Banque VBRADE6K;VBRADE6K;;;;;DE;;;
Banque WELADED1ARN;WELADED1ARN;;;;;DE;;;
Banque WELADED1LAF;WELADED1LAF;;;;;DE;;;
Banque WELADED1WML;WELADED1WML;;;;;DE;;;
Banque WELADEDN;WELADEDN;;;;;DE;;;
