Num;name;categorie;sale_ok;purchase_ok;product_type;internal_ref;list_price;ean13;Christmaes_product;Print_two_face;predecoupe;Developpement;Relief;Paletissation;Pantone;schema d'impression;colis_ean;carton;palette;qty_to_invoice;farde;description;remarque;quality;procure_method;supply_method;standard_price;produce_delay;uom_po_id;description_purchase;state;weight;net_weight;Largeur;Longueur;Grammage;Recompute_grammage;Type_crochet;Print_step;F_pliage1;F_pliage2;sale_delay;produce_delay;uos_id;uos_coeff;sale_description;account_income;account_expense;taxes_id;supplier_taxes_id;code;partner_id;date_obsolete
131;*131;SE;1;1;product;SE1314
132;*132;SE;1;1;product;SE1318
133;*133;SE;1;1;product;SE1320
134;*134;SE;1;1;product;SE1324
135;*135;SE;1;1;product;SE1328
136;*136;SE;1;1;product;SE1330
137;*137;SE;1;1;product;SE1331
138;*138;SE;1;1;product;SE1334
139;*139;SE;1;1;product;SE1352
140;*140;SE;1;1;product;SE1354
141;*141;SE;1;1;product;SE1355
142;*142;SE;1;1;product;SE1356
143;*143;SE;1;1;product;SE1360
144;*144;SE;1;1;product;SE1361
145;*145;SE;1;1;product;SE1362
146;*146;SE;1;1;product;SE1363
147;*147;SE;1;1;product;SE1364
148;*148;SE;1;1;product;SE1365
149;*149;SE;1;1;product;SE1366
150;*150;SE;1;1;product;SE1368
151;*151;SE;1;1;product;SE1369
152;*152;SE;1;1;product;SE1382
153;*153;SE;1;1;product;SE1411
154;*154;SE;1;1;product;SE1426
155;*155;SE;1;1;product;SE1432
156;*156;SE;1;1;product;SE1443
157;*157;SE;1;1;product;SE1444
158;*158;SE;1;1;product;SE1448
159;*159;SE;1;1;product;SE1449
160;*160;SE;1;1;product;SE1450
161;*161;SE;1;1;product;SE1458
162;*162;SE;1;1;product;SE1461
163;*163;SE;1;1;product;SE1464
164;*164;SE;1;1;product;SE1490
165;*165;SE;1;1;product;SE1502X
166;*166;SE;1;1;product;SE1531X
167;*167;SE;1;1;product;SE1555
168;*168;SE;1;1;product;SE1567
169;*169;SE;1;1;product;SE1572
170;*170;SE;1;1;product;SE1574
171;*171;SE;1;1;product;SE1596X
172;*172;SE;1;1;product;SE1597X
173;*173;SE;1;1;product;SE1599X
174;*174;SE;1;1;product;SE1601X
175;*175;SE;1;1;product;SE1707X
176;*176;SE;1;1;product;SE1712X
177;*177;SE;1;1;product;SE1719X
178;*178;SE;1;1;product;SE1734X
179;*179;SE;1;1;product;SE0374
180;*180;SE;1;1;product;SE0513
181;*181;SE;1;1;product;SE0514
182;*182;SE;1;1;product;SE0516
183;*183;SE;1;1;product;SE0598
184;*184;SE;1;1;product;SE0704
185;*185;SE;1;1;product;SE0705
186;*186;SE;1;1;product;SE0706
187;*187;SE;1;1;product;SE0724
188;*188;SE;1;1;product;SE0759
189;*189;SE;1;1;product;SE0996
190;*190;SE;1;1;product;SE1140
191;*191;SE;1;1;product;SE1151
192;*192;SE;1;1;product;SE1161
193;*193;SE;1;1;product;SE2000
194;*194;SE;1;1;product;SE2001
195;*195;SE;1;1;product;SE2002
196;*196;SE;1;1;product;SE2003
197;*197;SE;1;1;product;SE2004
198;ABRICOT / BBQ;SE;1;1;product;SE0603
199;ABRICOT / BBQ *1;SE;1;1;product;SE0604
200;ABRICOT / BBQ *2;SE;1;1;product;SE0612
201;ABRICOT / BBQ *3;SE;1;1;product;SE0626
202;ACACIA BLANC;SE;1;1;product;SE0348X
203;ACACIA BLANC *1;SE;1;1;product;SE0353X
204;ACACIA BLANC *2;SE;1;1;product;SE1392X
205;ACACIA TETE-A-TETE;SE;1;1;product;SE1071
206;ACACIA TETE-A-TETE *1;SE;1;1;product;SE1136
207;ACACIA VERT/BL/AMETH;SE;1;1;product;SE1398X
208;ACACIA VERT/BL/AMETH *1;SE;1;1;product;SE1408X
209;ACACIA VERT/BL/AMETH *2;SE;1;1;product;SE1418X
210;ADAMO;SE;1;1;product;SE1197X
211;ADHESIV;SE;1;1;product;SE1216
212;ADHESIV *1;SE;1;1;product;SE1218
213;AIRY FIELDS 118;SE;1;1;product;SE0070
214;AIRY FIELDS 118 *1;SE;1;1;product;SE0150
215;AIRY FIELDS 118 *2;SE;1;1;product;SE0262
216;AIRY FIELDS 118 *3;SE;1;1;product;SE0275
217;AIRY FIELDS 118 *4;SE;1;1;product;SE0281
218;AIRY FIELDS 140;SE;1;1;product;SE0107X
219;AIRY FIELDS 140 *1;SE;1;1;product;SE0118X
220;AIRY FIELDS 140 *2;SE;1;1;product;SE0444X
221;AIRY FIELDS 140 *3;SE;1;1;product;SE1296X
222;AIRY FIELDS 140 *4;SE;1;1;product;SE1588X
223;ALL THAT GLITTERS;SE;1;1;product;SE0458
224;ALL THAT GLITTERS *1;SE;1;1;product;SE0471
225;AMIES;SE;1;1;product;SE0269
226;AMIES *1;SE;1;1;product;SE0288
227;AMIES *2;SE;1;1;product;SE0316
228;AMIES *3;SE;1;1;product;SE0317
229;AMIES *4;SE;1;1;product;SE1447
230;ANGEL FRIENDS;SE;1;1;product;SE0101
231;ANGEL FRIENDS *1;SE;1;1;product;SE0102
